Date,Bee_ID,Treatment,Cells (yes or no),Feces line length (mm) ,Final line length (feces + water) (mm),Number_of_cells_in_5_grids ,Cells (per uL feces) (Use calculator),Notes,Feces concentration (uL feces per 1 uL total) ,uL feces in 0.02 uL total
6/6,146,bw,yes,11.21,59.92,1,267.2613738,,0.187082777,0.003741656
6/6,148,sf,no,3.37,61.04,0,0,,0.055209699,0.001104194
6/6,149,bw,yes,6.57,61.9,6,2826.484018,,0.106138934,0.002122779
6/6,150,bw,yes,5.65,59.36,10,5253.097345,,0.095181941,0.001903639
6/6,152,sf,yes,16.16,61.1,1,189.0470297,,0.264484452,0.005289689
6/6,153,bw,no,5.55,60.03,0,0,,0.092453773,0.001849075
6/6,156,sf,no,6.37,60,0,0,,0.106166667,0.002123333
6/6,160,bw,no,13.01,62.43,0,0,,0.208393401,0.004167868
6/6,161,bw,yes,6.43,60.01,3,1399.92224,,0.107148809,0.002142976
6/6,162,bw,no,5.85,62.03,0,0,,0.094309205,0.001886184
6/6,163,bw,no,8.79,62.4,0,0,,0.140865385,0.002817308
6/6,164,sf,no,8.81,61.43,0,0,,0.143415269,0.002868305
6/6,165,sf,no,3.49,64.96,0,0,,0.053725369,0.001074507
6/6,168,bw,no,3.67,61.39,0,0,,0.059781723,0.001195634
6/6,171,sf,no,11.6,61.18,0,0,,0.189604446,0.003792089
6/6,172,bw,no,9.1,62.3,0,0,,0.146067416,0.002921348
6/6,175,sf,no,5.86,63.73,0,0,,0.091950416,0.001839008
6/6,176,bw,no,11.88,62.79,0,0,,0.189202102,0.003784042
6/6,177,bw,no,5.67,65.03,0,0,,0.087190527,0.001743811
6/6,180,bw,yes,19.82,60.63,7,1070.660949,,0.326900874,0.006538017
6/6,181,bw,yes,12.05,61.48,7,1785.726141,,0.195998699,0.003919974
9/5,182,bw,yes,11.34,60.86,3,805.026455,,0.18632928,0.003726586
9/5,183,sf,yes,17.07,62.93,4,737.3169303,,0.271253774,0.005425075
9/5,184,sf,yes,7.11,59.69,4,1679.043601,,0.11911543,0.002382309
9/5,185,sf,yes,22.9,49.9,2,217.9039301,,0.458917836,0.009178357
9/5,187,sf,yes,5.44,60.69,4,2231.25,,0.089635854,0.001792717
9/5,188,bw,yes,18.59,61.88,3,499.3006993,,0.300420168,0.006008403
9/5,189,bw,no,11.94,60.74,0,0,,0.196575568,0.003931511
9/5,191,sf,no,6.58,60.26,0,0,,0.109193495,0.00218387
9/5,193,sf,yes,14.13,60.9,4,861.9957537,,0.232019704,0.004640394
9/5,194,sf,yes,12.75,61.49,2,482.2745098,,0.207350789,0.004147016
9/5,195,sf,no,4.61,59.95,0,0,,0.076897415,0.001537948
9/5,197,bw,yes,4.42,59.81,2,1353.167421,,0.073900686,0.001478014
9/5,199,bw,yes,18.99,61.84,2,325.6450764,,0.307082794,0.006141656
9/5,201,sf,no,21.16,62.23,0,0,,0.340028925,0.006800578
9/5,202,bw,no,2.17,61.97,0,0,,0.035016944,0.000700339
9/5,203,sf,no,10.47,60.76,0,0,,0.172317314,0.003446346
9/5,204,sf,no,23.86,60.29,0,0,,0.395753856,0.007915077
9/5,206,bw,no,6.51,61.52,0,0,,0.105819246,0.002116385
9/5,207,bw,yes,7.49,60.25,2,804.4058745,,0.124315353,0.002486307
9/5,208,bw,no,3.1,60.44,0,0,,0.051290536,0.001025811
9/5,209,sf,no,0.5,16.24,0,0,,0.030788177,0.000615764
9/5,210,bw,no,5.85,57.45,0,0,,0.101827676,0.002036554
9/5,211,bw,no,1.76,61.3,0,0,,0.028711256,0.000574225
9/5,213,sf,yes,4.42,61.95,3,2102.375566,,0.071347861,0.001426957
9/5,215,bw,no,20.3,61.47,0,0,,0.330242395,0.006604848
9/5,218,sf,no,5.13,60.53,0,0,,0.084751363,0.001695027
9/5,219,bw,yes,14.01,60.07,1,214.3825839,,0.233227901,0.004664558
9/5,221,bw,no,2.08,54.24,0,0,,0.038348083,0.000766962
9/5,223,sf,yes,23.79,61.41,19,2452.269861,,0.38739619,0.007747924
9/5,224,sf,no,11.54,60.27,0,0,,0.191471711,0.003829434
9/5,225,bw,no,13.78,60.4,0,0,,0.228145695,0.004562914
9/5,226,bw,yes,4.72,62.65,3,1990.995763,,0.075339186,0.001506784
9/5,227,bw,no,5.92,62.16,0,0,,0.095238095,0.001904762
9/5,228,sf,no,4.49,62.24,0,0,,0.072140103,0.001442802
9/5,229,bw,no,2.17,39.52,0,0,,0.054908907,0.001098178